Author,Comment,Likes,Timestamp
@smiley9631,Bro what is base salary asalu entha vastadhi including bonus and all oka video cheyyandi bro,2,2025-02-16T16:49:21Z
@abhinav_naidu25,"<a href=""https://www.youtube.com/watch?v=EvSRE3aJo9o&amp;t=297"">4:57</a> lol",0,2025-02-16T10:04:26Z
@musicalband_,Coding questions em adigaru A level lo adigaru Rohit,0,2025-02-16T07:59:37Z
@GouthamiMahi,Bro elegible criteria,0,2025-02-16T07:29:32Z
@kilarikethana669,Bro hr rounds lo sql midha questions adugutara,1,2025-02-15T17:10:15Z
@RD-jaisrikristna,salary entha bro,0,2025-02-15T11:14:16Z
@dailyvlogging-e2f,Bro online lo apply chesava ledha,1,2025-02-14T14:56:41Z
@akankshagupta4150,what codes they ask? in pen paper test? can you tell,2,2025-02-13T10:11:03Z
@user6699,Brooo MacBook Air m2 kada adi nen kuda planning to buy that in sale clg lo undevi Ani mac lo work avtaya,3,2025-02-13T09:58:57Z
@t.shravyasree-ie-2435,Group discussion topics meeku telisina variki adiginadi...cheppara..,1,2025-02-13T09:41:29Z
@user001-y8t,Package??,2,2025-02-13T09:14:24Z
@mahaboobbasha-bc9xc,"Why u r join HCL technologies, After release offer letter they r not onboarding me worst company in my life",0,2025-02-12T16:27:31Z
@rjraja7028,anna package antha anna?,0,2025-02-12T09:37:39Z
@hotsoupcoldsilence6052,bro coding questions ela untai?,0,2025-02-11T15:51:27Z
@VenkateshB-s6e,HCL is the worst company please don&#39;t join,2,2025-02-11T14:45:20Z
@Znapika,Meru experienced ah bro eh domain lo enni rounds em exam bro,0,2025-02-10T16:55:21Z
@chinnisowmya1887,Wowww very nice congratulations ma,1,2025-02-10T12:15:40Z
@myselfkavya-r1h,what about c++ =&gt;direct technical interview or written exam,1,2025-02-10T09:43:30Z
@boyinavarshitha2562,Congratulations 😃 meeru a dept?,1,2025-02-09T10:08:19Z
@harikalakshmi5394,Even My brother also got placed in Hcl tech in banglore with 10 lakh package..His name is Rohit Sai Vamsi🎉,39,2025-02-09T09:23:30Z
@NaaVideos_NaaEstam,Hcl vadhu brooo🫡,0,2025-02-08T20:10:42Z
@Sanjusanjay1124,Congracts brother 🎉🎉❤,4,2025-02-08T18:58:55Z
@atulbajpai8185,this is full online process or on office selection walk in <br>process,0,2025-02-08T17:03:09Z
@atulbajpai8185,which role you are selected in hcl tech,0,2025-02-08T17:02:32Z
@dabbeerusanmukhasaathwik4919,broo TCS lo matram join akkaku broo...naa experience tho chepputunna,0,2025-02-08T16:16:00Z
@gokulrao4626,non IT vallu IT ki ela ravali and em em nerchukovali and without coding courses chepu bro,1,2025-02-08T14:29:32Z
@praveenkumarkolluru2,Welcome to HCLTECH ❌ welcome to BENCH 😂,1,2025-02-08T14:22:00Z
@sillanavya782,bro nenu january lo apply chesa hcl ki eppudu mail ravacchu,0,2025-02-08T12:41:18Z
@thupakulavenu8140,Bro 10 coding questions ami adigaru,1,2025-02-08T09:46:49Z
@Bunny-ne9vr,Ma sister kuda HCl tech lo work chesthundi Hike ekkuva evaru bro 2 years back evalsina hike resent ga echaru worest bro akkada,5,2025-02-08T09:15:03Z
@jagadeeshroyal8510,Maku technical rounds 2 untai annaru kani one round ayyaka nxt round 2 days lo untadi annaru nka address leru hcl vallu mari yeppudu ostharo bro🤧,2,2025-02-07T17:23:52Z
@revanthkumardompaka4185,"congrats anna<br>package em cheppadu gani <br>manchi package vachinda leda Cheppu anna<br>inka anna niku dsa round emaina ayinda <br>like leetcode gani hacker rank gani codeforces gani gfg q easy to hard <br>code rayimani cheppara<br>technical round lo elanti q adigaru <br>system design meda emaina adigara<br>DBMS,OS ,CCN , OOPS, TOC <br>cheppandi anna",0,2025-02-07T14:23:12Z
@Sidastya,Bro do you applied for HCL after your 12th,0,2025-02-07T14:17:21Z
@mashapoguajay3322,Nidi enta package bro maku 10 lpa icharu,1,2025-02-07T11:35:07Z
@mashapoguajay3322,I also got placed in HCLtech,2,2025-02-07T11:31:02Z
@K.ChaithraChaithu,Bro send HCL apply link brother,1,2025-02-07T05:27:08Z
@PrasannaKorutla,C coding lo  10 questions anti bro,3,2025-02-06T17:56:42Z
@Kaiwnisj,Hi bro did you got any official mail from hcl like loi or something?,0,2025-02-06T15:40:12Z
@moghalkarishma2378,Coding questions share cheyochu ga bro ?,7,2025-02-06T13:08:19Z
@sujai7380,Package entha bro ?,2,2025-02-06T11:44:00Z
@premkumar-lx9ci,Nenu hcl place ayena broh 20. Days back,1,2025-02-06T09:38:01Z
@ManojKumar-qm2ty,Bro meeru select ayinattu result ochindi kadha...offer letter eppatilopu osthundi ani cheppaaru??,1,2025-02-06T05:55:34Z
@raisingstarraficreations9239,pin online link bro,0,2025-02-06T04:39:51Z
@rpmagic1303,Bro which app r u using for thumbnails ?,1,2025-02-06T00:33:54Z
@keerthanareddyy,Can you tell how you prepared for the placements?<br>Ps: I&#39;m currently in my third year.,1,2025-02-05T18:19:11Z
@Maha-l8r,"Hi bro while filling application form instead of 10 th roll no i gave btech rollno,and i also uploaded 10 th marks memo.will it reflects any serious  impact .",2,2025-02-05T14:03:48Z
@koyabhanu9591,congratulations bro<br><br>can you tell me any 5 questions out of 10 that they have asked to write in paper plz,1,2025-02-05T11:12:31Z
@Vishwa76677,What skills we require to get hired in that company???💖,0,2025-02-05T11:03:14Z
@rathnamduggirala,Please explain everything in english,3,2025-02-05T10:50:54Z
@gowthameswar9807,bossu cloud pina freshers ki openigs untey post chey ala ni channel lo,1,2025-02-05T08:28:06Z
@moghalkarishma2378,Group discussion preparation ela cheyali ?,3,2025-02-05T06:46:37Z
@Pavan_Vlogs2,2020 passout year vallakii jobs vasthava,1,2025-02-05T06:09:19Z
@tharunkumar9528,Offer letter?,1,2025-02-05T05:59:56Z
@hareeshchintada9084,Hiiii bro...edi off compus interview na...on compus interview HCL,1,2025-02-05T05:48:30Z
@sampathkumar-ez3zh,Congratulations Brother 🎉,1,2025-02-05T02:41:35Z
@androidgamestelugu9019,Package ntha icharu anna,0,2025-02-04T21:04:46Z
@Kalyanbabufan01,bro Actually i got mail for communication test . have you received that,1,2025-02-04T18:27:45Z
@penchalrajuraghava,Congratulations bro,2,2025-02-04T16:50:31Z
@D.Chandana-w1k,Congrats rsv🎉🎉,5,2025-02-04T16:33:32Z
@rpmagic1303,Which app you are using for editing the video bro?,1,2025-02-04T16:28:15Z
@mahehgedela923,Bro dsa round ledha meku <br>EE  hcl interview process,2,2025-02-04T15:58:39Z
@purushotham1188,what are that 10 Coading Questions bro ..?,4,2025-02-04T13:33:46Z
@aiwaiwaiwaiw,Anna..C language ela neruchukunavu anna .miru preparation aina note Books and nuvu rasukuna techenic Chepandi please..anna..,2,2025-02-04T13:04:54Z
@MamtaMuppavarapu,Congratss ra rohituuuuu❤🎉,2,2025-02-04T12:57:34Z
@prabashrock,"resume templete chappu bro,and also am coming from ece background neeku telisindha clg agadengam,python chasa 10days back inka naku academic year 2 months complete avuthadhi koncham tips chappachu ga",1,2025-02-04T11:54:45Z
@ReshmaShaik-um5li,Anna I&#39;m 2022 passed out automation testing ki fresher ga try cheyocha,3,2025-02-04T11:53:20Z
@Jesnish_Hans_R,Hike aasalu undavu Tammudu All the very best in HCL 😮,4,2025-02-04T11:52:05Z
@Funnyshots-3i,Bro aa technical round ela complete chaiyali 🤦‍♀️asalu ardam kavatledu entha chesina,3,2025-02-04T07:55:57Z
@notluck5330,Ela apply chesinav bhayya ??,1,2025-02-04T06:28:53Z
@vishnu05110,role???,2,2025-02-04T05:39:18Z
@VenkateshRongala-s7z,Instagram kudaa social media neyyy bro.. Akkada kuda cheppakudadhu... Anyway Congrates👏👏,2,2025-02-03T18:52:57Z
@nikithajaldha7940,Can you rate my interview ? Work life balance questions 😂😂😂slang,3,2025-02-03T18:49:45Z
@shanmukhNarra,bro resume lo python petti google form lo java petocha,1,2025-02-03T17:39:00Z
@sai-l4x4k,Bro can you show and share resume plss,1,2025-02-03T17:21:15Z
@AffiliateLinks-bv1hc,"Apuraa puka nv select avaledhu ayithe mail pettu , 2 rayadam akkuva 10 ante 30 lack package kuda 3 untayyi raa arripukaa😅",0,2025-02-03T16:10:16Z
@JoshnaMajji,Hcl package entha bro?,2,2025-02-03T15:40:42Z
@thenameisyash8327,"asalu ni channel purpose enti bro.....vlogs pedhathav , movie review pedathav, ha tech pedthav..wtf bro...oka dhani midha vunduu ok",2,2025-02-03T14:19:14Z
@bonthusrinivas2472,Congratulations 🎉,1,2025-02-03T12:17:31Z
@Abhir56046,"bro i am also in final year i have diff skills like java,sql,web devolopment basics but my clg has no placments how i can i get job and also this skilss are enough to get the job or any skills to learn for job",2,2025-02-03T11:53:23Z
@stylishgopal1078,CRINGE BOY,0,2025-02-03T10:06:14Z
@NiteeshVaddi,which year passout bro you,1,2025-02-03T09:00:56Z
@krishnakarthik1564,Role emiti?,1,2025-02-03T08:44:11Z
@yogeshgone749,Congratulations broo,1,2025-02-03T08:29:11Z
@djcharanbolthe6245,Hi bro nenu inter 2 year e summer lo complete avuutadii nen bsc join avudham ani think chestunna inka institutes lo join avuutha oka 2 to 3 years lo manchi job kottali ? Nku koncham suggestion cheppandhi bro ?!,2,2025-02-03T08:20:21Z
@mannurusudarshan511,Rey sodi hcl 1 month ki radu 22 days ki vasthude motham sodi ni friend andariki vachide niku raledu a hr interview avakunda ney job vachide a niku ok nice,23,2025-02-03T08:06:28Z
@enjoyeducation498,Bro offcampus ela apply chesav,5,2025-02-03T08:06:01Z
@Ravi_Gula,Congratulations bro,2,2025-02-03T07:07:52Z
@dattathreyaa.s.v7846,Which batch did they hire?,1,2025-02-03T06:42:43Z
@The_lucky_entertainer,Bro nvu  final year student ha?,2,2025-02-03T05:55:47Z
@suldn2113,package??,3,2025-02-03T05:34:38Z
@naishadhasatya6089,Congratulations rohit 🥳,8,2025-02-03T05:25:41Z
@PReshma16,Congrats 🎉bhroo ✊🏻,6,2025-02-03T05:21:03Z
@saisravyavutukuri3933,Congratulations roohitt🎉 🎉,6,2025-02-03T05:20:49Z
@Chaitanya01627,Offcampus or On campus ???,1,2025-02-03T05:11:40Z
@puttooryuvaratnareddy,Congratulations ra 🎉🎉,2,2025-02-03T05:00:31Z
@varshinireddy7127,On campus ah or off campus ah anna ??,2,2025-02-03T04:28:21Z
@varshinireddy7127,Congratulations bro 🎉,2,2025-02-03T04:20:24Z
@ThanusriThota-bp8kt,Congratssss Broo..🎉🎊💫,6,2025-02-03T03:35:21Z
@gani.....01,Congratulations brother ❤,6,2025-02-03T03:07:12Z
@Jyothieshk,Congratulations anna I was watching your every interview experience such a great valuable information for your juniors like us 🥳🎉,18,2025-02-03T02:34:18Z
@Dr_beatzzzz__,Congractulations bro,6,2025-02-03T02:27:07Z
@santoshchakka2362,Congratulations ra Rohit ✨,6,2025-02-03T02:20:36Z
@firegun1399,Bro how many times the ctc of hcl more than the tcs ctc ?,2,2025-02-03T02:06:07Z
@pavankalyan-uw1jc,"Congrats, bro!🎉🎉🎉 Don&#39;t stop your journey—keep going and achieve more!",13,2025-02-03T02:03:07Z
@ManojKumar-gm7cq,Congratulations ra 🎊❤,8,2025-02-03T01:55:23Z
@Lakshmi-s9b6o,Congratulation rohit,10,2025-02-03T01:37:27Z
@VennelaChowdary05,Congratulations 🎊🎊.. wishing you all the best for your future ✊🏻✨,4,2025-02-03T00:53:01Z
